id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Helmer;Monahan;Cristian.Koelpin62@hotmail.com;barring;2024-03-05T13:04:45;4501;119
2;Tobin;Kuhlman;Oliver41@hotmail.com;vivaciously;2024-03-05T02:30:37;3959;13652
3;Marlen;Sanford;Antonia.Mann42@hotmail.com;deliberately;2024-03-04T19:15:23;32477;8628
4;Lily;Tromp-Johnston;Donato77@hotmail.com;gravel;2024-03-05T01:56:48;13138;30229
5;Estefania;Turcotte;Cathryn13@yahoo.com;except;2024-03-04T18:19:14;1020;6916
6;Allie;Schiller;Khalil32@gmail.com;wick if woot;2024-03-04T20:26:09;32581;4313
7;Miguel;Fritsch;Kirsten.Vandervort1@gmail.com;weakly;2024-03-05T14:05:21;29724;1322
8;Lindsay;Ruecker;Tiara_Weber@yahoo.com;irritating to;2024-03-04T18:51:21;31487;18487
9;Jay;Moen;Davonte.OConner22@yahoo.com;sternly by;2024-03-05T03:00:28;5781;11895
10;Wendell;Connelly;Chelsey.Heller@yahoo.com;drat bakery;2024-03-05T05:44:29;15647;24109
